rank,rank_change,app_name,publisher_name,biz_category_sub,value
134,132.0,KBO STATS,"Sports2i Co., Ltd.",야구,116.19
135,-3.0,숫자로 색칠하기 - 무료 색칠 공부 및 퍼즐 게임,Better Life - Color and Draw,캐주얼게임,-4.13
136,7.0,애니팡 포커,PLAYLINKS Corp.,카지노게임,3.2
137,-13.0,놀러와 마이홈,Kakao Games Corp.,시뮬레이션게임,-12.04
138,3.0,라이즈 오브 킹덤즈,LilithGames,전략게임,-1.48
139,5.0,1010!,Gram Games Limited,퍼즐/퀴즈게임,1.13
140,-2.0,검은사막 모바일,PEARL ABYSS,롤플레잉게임,-3.3
141,1.0,나무 블록 퍼즐 - 무료 클래식 블록 퍼즐 게임,Beetles Games Studio,퍼즐/퀴즈게임,0.17
142,-22.0,Tiles Hop: EDM Rush!,AMANOTES PTE LTD,리듬/타일게임,-17.99
143,-14.0,슈퍼펭귄 (Super Penguins),Supersolid,액션게임,-13.86
144,-5.0,의지의 히어로,ZPLAY Games,액션게임,-7.62
145,-52.0,퍼니싱:그레이 레이븐,"HK HERO ENTERTAINMENT CO., LIMITED",롤플레잉게임,-35.15
146,-6.0,일곱 개의 대죄: GRAND CROSS,Netmarble,롤플레잉게임,-7.34
147,-2.0,MARVEL 퓨처파이트,Netmarble,롤플레잉게임,-6.05
148,24.0,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED",롤플레잉게임,14.54
149,12.0,스도쿠 - 무료 클래식 스도쿠 퍼즐,Beetles Games Studio,퍼즐/퀴즈게임,5.56
150,4.0,삼국지 전략판,Qookka Games,전략게임,3.16
151,-1.0,"모비 - 사전예약, 사전등록, 게임쿠폰",헝그리앱 Group,게임정보,-2.83
152,-5.0,디 앤츠:언더그라운드 킹덤,StarUnion,전략게임,-7.99
153,-18.0,마이토킹안젤라 2,Outfit7 Limited,,-16.12
154,-3.0,Woodoku,Tripledot Studios Limited,퍼즐/퀴즈게임,-4.27
155,5.0,아이러브니키,Kakao Games Corp.,시뮬레이션게임,-0.59
156,8.0,캔디크러쉬 프렌즈 사가,King,캐주얼게임,1.33
157,8.0,블록스케이프 - Blockscapes,PeopleFun,퍼즐/퀴즈게임,-0.69
158,5.0,Tile Master,Higgs Studio,보드게임,-2.11
159,-4.0,리니지2M,NCSOFT,롤플레잉게임,-5.83
160,16.0,골프존카운티,골프존카운티,골프,4.93
161,19.0,패밀리팜 어드벤처,Century Games Pte. Ltd.,시뮬레이션게임,6.8
162,5.0,로데오 스템피드: 스카이 동물원 사파리,Yodo1 Games,캐주얼게임,-0.14
163,3.0,Blockudoku - 블록 퍼즐 게임,Easybrain,퍼즐/퀴즈게임,-1.5
164,10.0,사활 마스터 (바둑),LR Studios,보드게임,1.6
165,-8.0,바운스볼,RAON GAMES,퍼즐/퀴즈게임,-7.18
166,-30.0,FNF 뮤직 배틀-구출 여자 친구,OneSoft Global PTE. LTD.,리듬/타일게임,-23.9
167,-9.0,Yu-Gi-Oh! Duel Links,KONAMI,카드게임,-7.67
168,1.0,펜타스톰,Netmarble,슈팅게임,-2.04
169,20.0,벽돌깨기 퀘스트,mobirix,아케이드게임,10.14
170,-11.0,A Dance Of Fire and Ice,7th Beat Games,리듬/타일게임,-8.31
171,19.0,Two Dots,PlayDots,퍼즐/퀴즈게임,9.45
172,-2.0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,전략게임,-2.34
173,-2.0,그랑사가,NPIXEL,롤플레잉게임,-2.65
174,13.0,카운터사이드,NEXON Company,롤플레잉게임,5.14
175,,Arrow Fest,Rollic Games,,-3.59
176,3.0,Block Puzzle - 블럭 퍼즐,Block Puzzle Jewel Games,퍼즐/퀴즈게임,-2.04
177,4.0,리니지2 레볼루션,Netmarble,롤플레잉게임,-2.34
178,22.0,FotMob - 축구 결과,NorApps AS,스포츠게임,9.38
179,6.0,고양이 식탁,DH-Publisher,시뮬레이션게임,1.58
180,-12.0,Supreme Duelist Stickman,Nerons Brother,액션게임,-9.26
181,-3.0,틀린 그림 찾기 1000레벨 이상,Gamma Play,퍼즐/퀴즈게임,-3.88
182,-34.0,Fidget Trading 3D - Fidget Toys,MagicLab,캐주얼게임,-23.0
183,-27.0,플레이투게더,"Haegin Co., Ltd.",캐주얼게임,-15.61
184,2.0,오목,게임 스튜디오 모노몹,보드게임,0.4
185,-3.0,타일 연결 - 무료 타일 퍼즐 & 매치 브레인 게임,Higgs Studio,보드게임,-5.45
186,-2.0,이사만루21,GONGGAMES Corp.,스포츠게임,-4.41
187,14.0,앵그리버드 드림 블라스트 Angry Birds Dream Blast: 버블 퍼즐 팝핑 게임,Rovio Entertainment Corporation,퍼즐/퀴즈게임,4.4
188,7.0,애니팡 터치 - 트레저리그,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.57
