rank,rank_change,app_name,publisher_name,biz_category_sub,value
6,1.0,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-1.62
7,-4.0,세븐나이츠2,Netmarble,롤플레잉게임,-24.7
8,1.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,1.64
9,-1.0,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,-17.78
10,,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-5.15
11,1.0,Minecraft,Mojang,액션게임,0.55
12,-1.0,클래시 로얄,Supercell,전략게임,-0.06
13,,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,3.72
14,1.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,1.02
15,-1.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,0.07
16,,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-2.87
17,,클래시 오브 클랜,Supercell,전략게임,-0.66
18,,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-0.44
19,,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-1.11
20,1.0,캔디크러쉬사가,King,캐주얼게임,-0.65
21,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,-2.86
22,,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.51
23,,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.13
24,,좀비고등학교,AWESOMEPIECE,아케이드게임,-2.31
25,1.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.17
26,-1.0,LoL+,"Riot Games, Inc",게임커뮤니티,-2.87
27,,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,2.21
28,9.0,리니지M,NCSOFT,롤플레잉게임,30.08
29,-1.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,-1.49
30,-1.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,-1.34
1,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,0.13
2,,Among Us,Innersloth LLC,액션게임,-6.16
3,,브롤스타즈,Supercell,액션게임,-1.37
4,1.0,ROBLOX,Roblox Corporation,어드벤처게임,1.59
5,-1.0,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-0.91
6,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,0.19
7,1.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,1.96
8,-1.0,세븐나이츠2,Netmarble,롤플레잉게임,-20.17
9,,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,-15.12
10,,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-5.52
11,,Minecraft,Mojang,액션게임,1.08
12,,클래시 로얄,Supercell,전략게임,-2.22
13,,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,0.45
