,tablescraper-selected-row,name,tablescraper-selected-row 2,tablescraper-selected-row 3,num,num 2,num 3,num 4,tablescraper-selected-row 5
42,22.0,아이온,RPG,2.7,"1,575","71,368",134.0,"32,109",엔씨소프트
44,23.0,레인보우식스 시즈,FPS,1.23,"2,834","68,202",72.0,"57,660",네오위즈/스팀
46,24.0,히어로즈 오브 더 스톰,RTS,0.48,"2,443","64,593",100.0,"38,768",블리자드
48,25.0,검은사막,RPG,2.4,"1,802","63,596",140.0,"27,295",(주)펄어비스
50,26.0,GTA 5,액션,6.93,"2,332","60,932",75.0,"49,989",스팀
52,27.0,크레이지아케이드,아케이드,67.08,"3,609","58,356",42.0,"85,114",넥슨
54,28.0,한게임 로우바둑이,보드,13.85,"2,398","52,840",27.0,"120,895",한게임
56,29.0,Monster Hunter : World,액션,5.89,"1,607","51,820",119.0,"26,240",스팀
58,30.0,스페셜포스,FPS,0.89,"1,712","49,349",114.0,"25,938",네오위즈
0,1.0,리그 오브 레전드,RTS,93.65,"8,844","12,123,339",98.0,"7,469,117",라이엇게임즈
2,2.0,배틀그라운드,FPS,33.93,"8,377","1,808,023",90.0,"1,204,162",카카오/스팀
4,3.0,오버워치,FPS,30.94,"8,499","1,648,550",88.0,"1,129,671",블리자드
6,4.0,서든어택,FPS,28.36,"8,479","1,511,043",75.0,"1,219,435",넥슨
8,5.0,FIFA 온라인 4,스포츠,89.31,"8,638","1,300,249",59.0,"1,345,073",넥슨
10,6.0,메이플스토리,RPG,31.45,"7,971","798,923",96.0,"497,464",넥슨
12,7.0,던전앤파이터,액션,60.23,"7,259","549,863",99.0,"326,320",넥슨
14,8.0,스타크래프트 리마스터,RTS,3.97,"7,820","513,127",82.0,"379,412",블리자드
16,9.0,로스트아크,RPG,11.61,"4,677","294,754",141.0,"125,618",스마일게이트
18,10.0,카트라이더,레이싱,99.08,"7,745","249,811",35.0,"435,310",넥슨
20,11.0,리니지2,RPG,9.07,"1,485","230,198",377.0,"37,709",엔씨소프트
22,12.0,리니지,RPG,7.14,"2,699","181,365",179.0,"61,253",엔씨소프트
24,13.0,월드 오브 워크래프트,RPG,6.43,"3,400","163,292",142.0,"69,164",블리자드
26,14.0,사이퍼즈,액션,15.8,"3,784","144,164",123.0,"70,184",넥슨
28,15.0,워크래프트3 리포지드,RTS,0.86,"2,999","110,572",97.0,"68,889",블리자드
30,16.0,GTA 5,액션,9.75,"2,885","88,964",73.0,"73,678",스팀
32,17.0,디아블로3,RPG,3.49,"2,747","88,651",114.0,"46,817",블리자드
34,18.0,블레이드 & 소울,RPG,3.34,"2,002","84,832",133.0,"37,945",엔씨소프트
36,19.0,스타크래프트2,RTS,0.61,"3,496","78,706",82.0,"58,257",블리자드
38,20.0,테일즈런너,스포츠,4.98,"3,612","72,429",51.0,"86,686",스마일게이트
40,21.0,아이온,RPG,2.79,"1,568","70,716",132.0,"32,391",엔씨소프트
42,22.0,패스 오브 엑자일,RPG,2.77,"1,774","70,228",152.0,"27,829",카카오/그라인딩 기어 게임즈
44,23.0,레인보우식스 시즈,FPS,1.21,"2,716","64,470",74.0,"52,627",네오위즈/스팀
46,24.0,검은사막,RPG,2.51,"1,772","63,640",144.0,"26,520",(주)펄어비스
48,25.0,히어로즈 오브 더 스톰,RTS,0.48,"2,347","61,449",102.0,"36,089",블리자드
50,26.0,콜 오브 듀티: 모던 워페어,FPS,1.15,"3,060","60,968",45.0,"83,492",블리자드
52,27.0,크레이지아케이드,아케이드,63.68,"3,367","53,348",42.0,"77,389",넥슨
54,28.0,스페셜포스,FPS,0.95,"1,711","50,421",114.0,"26,475",네오위즈
56,29.0,한게임 로우바둑이,보드,13.35,"2,301","49,127",26.0,"114,285",한게임
58,30.0,파이널판타지14,RPG,1.87,"1,354","47,269",155.0,"18,376",액토즈소프트
0,1.0,리그 오브 레전드,RTS,93.29,"8,845","11,203,937",97.0,"6,949,383",라이엇게임즈
2,2.0,배틀그라운드,FPS,35.14,"8,354","1,802,901",94.0,"1,155,844",카카오/스팀
4,3.0,오버워치,FPS,30.42,"8,499","1,560,632",88.0,"1,071,470",블리자드
6,4.0,서든어택,FPS,27.81,"8,454","1,426,546",76.0,"1,139,643",넥슨
8,5.0,FIFA 온라인 4,스포츠,88.07,"8,616","1,107,562",57.0,"1,175,467",넥슨
10,6.0,메이플스토리,RPG,30.85,"7,939","762,595",98.0,"468,083",넥슨
12,7.0,던전앤파이터,액션,59.14,"7,286","548,676",99.0,"323,587",넥슨
14,8.0,스타크래프트 리마스터,RTS,4.1,"7,756","491,819",81.0,"365,257",블리자드
16,9.0,로스트아크,RPG,11.74,"4,641","290,282",142.0,"122,402",스마일게이트
18,10.0,카트라이더,레이싱,99.01,"7,701","247,827",35.0,"430,168",넥슨
20,11.0,리니지2,RPG,9.36,"1,438","231,402",390.0,"35,894",엔씨소프트
22,12.0,리니지,RPG,7.94,"2,836","196,211",181.0,"65,395",엔씨소프트
24,13.0,월드 오브 워크래프트,RPG,6.32,"3,329","156,221",143.0,"65,460",블리자드
26,14.0,사이퍼즈,액션,15.56,"3,763","144,357",123.0,"70,624",넥슨
28,15.0,워크래프트3 리포지드,RTS,0.91,"2,982","109,132",97.0,"67,928",블리자드
30,16.0,GTA 5,액션,11.45,"3,024","106,183",84.0,"76,309",스팀
32,17.0,블레이드 & 소울,RPG,3.32,"1,985","82,041",130.0,"37,554",엔씨소프트
34,18.0,디아블로3,RPG,3.29,"2,625","81,152",112.0,"43,489",블리자드
36,19.0,스타크래프트2,RTS,0.65,"3,503","77,639",82.0,"56,857",블리자드
38,20.0,아이온,RPG,2.74,"1,523","67,639",136.0,"29,929",엔씨소프트
40,21.0,테일즈런너,스포츠,5.36,"3,395","67,352",47.0,"88,105",스마일게이트
42,22.0,검은사막,RPG,2.72,"1,817","67,068",144.0,"28,057",(주)펄어비스
