,week_num,rank,column-1 2,name,company,type
239,11,20,(-),검은사막,카카오게임즈,롤플레잉
240,12,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
241,12,2,(+1),피파온라인4,NEXON COMPANY,스포츠
242,12,3,(+1),카트라이더,NEXON COMPANY,자동차 경주
243,12,4,(-2),메이플스토리,NEXON COMPANY,롤플레잉
244,12,5,(-),로스트아크,스마일게이트 STOVE,롤플레잉
245,12,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
246,12,7,(-),던전앤파이터,넥슨 코리아,액션
247,12,8,(+4),리니지,엔씨소프트,롤플레잉
248,12,9,(-),오버워치,블리자드,FPS
249,12,10,(-),서든어택,넥슨 코리아,FPS
250,12,11,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
251,12,12,(-4),에이펙스 레전드,리스폰 엔터테인먼트,배틀로얄
252,12,13,(-),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
253,12,14,(+1),사이퍼즈,넥슨 코리아,액션
254,12,15,(+1),아키에이지,엑스엘게임즈,롤플레잉
255,12,16,(-2),마인크래프트,모장,어드벤쳐
256,12,17,(+1),블레이드앤소울,엔씨소프트,롤플레잉
257,12,18,(-1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
258,12,19,(-),아이온: 영원의 탑,엔씨소프트,롤플레잉
259,12,20,(-),검은사막,카카오게임즈,롤플레잉
260,13,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
261,13,2,(-),피파온라인4,NEXON COMPANY,스포츠
262,13,3,(-),카트라이더,NEXON COMPANY,자동차 경주
263,13,4,(-),메이플스토리,NEXON COMPANY,롤플레잉
264,13,5,(-),로스트아크,스마일게이트 STOVE,롤플레잉
265,13,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
266,13,7,(+1),리니지,엔씨소프트,롤플레잉
267,13,8,(-1),던전앤파이터,넥슨 코리아,액션
268,13,9,(+2),천하제일상 거상,AK INTERACTIVE,롤플레잉
269,13,10,(-1),오버워치,블리자드,FPS
270,13,11,(-1),서든어택,넥슨 코리아,FPS
271,13,12,(+1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
272,13,13,(-1),에이펙스 레전드,리스폰 엔터테인먼트,배틀로얄
273,13,14,(+3),블레이드앤소울,엔씨소프트,롤플레잉
274,13,15,(-),아키에이지,엑스엘게임즈,롤플레잉
275,13,16,(-2),사이퍼즈,넥슨 코리아,액션
276,13,17,(-1),마인크래프트,모장,어드벤쳐
277,13,18,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
278,13,19,(-1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
279,13,20,(-),검은사막,카카오게임즈,롤플레잉
280,14,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
281,14,2,(+1),카트라이더,NEXON COMPANY,자동차 경주
282,14,3,(+1),메이플스토리,NEXON COMPANY,롤플레잉
283,14,4,(-2),피파온라인4,NEXON COMPANY,스포츠
284,14,5,(-),로스트아크,스마일게이트 STOVE,롤플레잉
285,14,6,(+1),리니지,엔씨소프트,롤플레잉
286,14,7,(-1),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
287,14,8,(-),던전앤파이터,넥슨 코리아,액션
288,14,9,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
289,14,10,(-),오버워치,블리자드,FPS
290,14,11,(-),서든어택,넥슨 코리아,FPS
291,14,12,(-),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
292,14,13,(+2),아키에이지,엑스엘게임즈,롤플레잉
293,14,14,(-),블레이드앤소울,엔씨소프트,롤플레잉
294,14,15,(-2),에이펙스 레전드,리스폰 엔터테인먼트,배틀로얄
295,14,16,(-),사이퍼즈,넥슨 코리아,액션
296,14,17,(-),마인크래프트,모장,어드벤쳐
297,14,18,(-),아이온: 영원의 탑,엔씨소프트,롤플레잉
298,14,19,(+1),검은사막,카카오게임즈,롤플레잉
299,14,20,(-1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
300,15,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
301,15,2,(+1),메이플스토리,NEXON COMPANY,롤플레잉
302,15,3,(-1),카트라이더,NEXON COMPANY,자동차 경주
303,15,4,(-),피파온라인4,NEXON COMPANY,스포츠
304,15,5,(-),로스트아크,스마일게이트 STOVE,롤플레잉
305,15,6,(-),리니지,엔씨소프트,롤플레잉
306,15,7,(+1),던전앤파이터,넥슨 코리아,액션
307,15,8,(-1),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
308,15,9,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
309,15,10,(-),오버워치,블리자드,FPS
310,15,11,(-),서든어택,넥슨 코리아,FPS
311,15,12,(+1),아키에이지,엑스엘게임즈,롤플레잉
312,15,13,(-1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
313,15,14,(-),블레이드앤소울,엔씨소프트,롤플레잉
314,15,15,(+1),사이퍼즈,넥슨 코리아,액션
315,15,16,(+1),마인크래프트,모장,어드벤처
316,15,17,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
317,15,18,(-3),에이펙스 레전드,리스폰 엔터테인먼트,배틀로얄
318,15,19,(-),검은사막,카카오게임즈,롤플레잉
319,15,20,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
320,16,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
321,16,2,(-),메이플스토리,NEXON COMPANY,롤플레잉
322,16,3,(+2),로스트아크,스마일게이트 STOVE,롤플레잉
323,16,4,(-1),카트라이더,NEXON COMPANY,자동차 경주
324,16,5,(-1),피파온라인4,NEXON COMPANY,스포츠
325,16,6,(+1),던전앤파이터,넥슨 코리아,액션
326,16,7,(-1),리니지,엔씨소프트,롤플레잉
327,16,8,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
328,16,9,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
329,16,10,(-),오버워치,블리자드,FPS
330,16,11,(-),서든어택,넥슨 코리아,FPS
331,16,12,(-),아키에이지,엑스엘게임즈,롤플레잉
332,16,13,(+1),블레이드앤소울,엔씨소프트,롤플레잉
333,16,14,(+1),사이퍼즈,넥슨 코리아,액션
334,16,15,(+1),마인크래프트,모장,어드벤처
335,16,16,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
336,16,17,(-4),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
337,16,18,(+2),테일즈런너,스마일게이트 메가포트,캐주얼 게임
338,16,19,(-),검은사막,카카오게임즈,롤플레잉
339,16,20,(+4),도타2,밸브,AOS
340,17,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
341,17,2,(-),메이플스토리,㈜넥슨코리아,MMORPG
342,17,3,(+2),피파온라인4,㈜넥슨코리아,스포츠
343,17,4,(-1),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
344,17,5,(-1),카트라이더,㈜넥슨코리아,레이싱
345,17,6,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
346,17,7,(-),리니지,㈜엔씨소프트,MMORPG
347,17,8,(-),배틀그라운드,펍지주식회사,서바이벌 슈팅
348,17,9,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
349,17,10,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
350,17,11,(-),서든어택,㈜넥슨코리아,FPS
351,17,12,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
352,17,13,(-),블레이드앤소울,㈜엔씨소프트,MMORPG
353,17,14,(+5),검은사막,카카오게임즈,MMORPG
354,17,15,(-1),사이퍼즈,㈜넥슨코리아,액션
355,17,16,(-1),마인크래프트,엑스박스 게임 스튜디오,샌드박스
356,17,17,(-1),아이온: 영원의 탑,㈜엔씨소프트,MMORPG
357,17,18,(+2),도타2,밸브 코퍼레이션,MOBA
358,17,19,(-2),크레이지 아케이드 비엔비,㈜넥슨코리아,아케이드
359,17,20,(-2),테일즈런너,㈜스마일게이트메가포트,레이싱
360,18,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
361,18,2,(+1),피파온라인4,㈜넥슨코리아,스포츠
362,18,3,(-1),메이플스토리,㈜넥슨코리아,MMORPG
363,18,4,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
364,18,5,(-),카트라이더,㈜넥슨코리아,레이싱
365,18,6,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
366,18,7,(-),리니지,㈜엔씨소프트,MMORPG
367,18,8,(-),배틀그라운드,펍지주식회사,서바이벌 슈팅
368,18,9,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
369,18,10,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
370,18,11,(-),서든어택,㈜넥슨코리아,FPS
371,18,12,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
372,18,13,(-),블레이드앤소울,㈜엔씨소프트,MMORPG
373,18,14,(+1),사이퍼즈,㈜넥슨코리아,액션
374,18,15,(-1),검은사막,카카오게임즈,MMORPG
375,18,16,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
376,18,17,(-),아이온: 영원의 탑,㈜엔씨소프트,MMORPG
377,18,18,(+2),테일즈런너,㈜스마일게이트메가포트,레이싱
378,18,19,(-1),도타2,밸브 코퍼레이션,MOBA
379,18,20,(-1),크레이지 아케이드 비엔비,㈜넥슨코리아,아케이드
380,19,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
381,19,2,(-),피파온라인4,㈜넥슨코리아,스포츠
382,19,3,(-),메이플스토리,㈜넥슨코리아,MMORPG
383,19,4,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
384,19,5,(-),카트라이더,㈜넥슨코리아,레이싱
385,19,6,(+1),리니지,㈜엔씨소프트,MMORPG
386,19,7,(-1),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
387,19,8,(-),배틀그라운드,펍지주식회사,서바이벌 슈팅
388,19,9,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
389,19,10,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
390,19,11,(-),서든어택,㈜넥슨코리아,FPS
391,19,12,(+3),검은사막,카카오게임즈,MMORPG
392,19,13,(-1),아키에이지,㈜엑스엘게임즈,판타지 RPG
393,19,14,(-1),블레이드앤소울,㈜엔씨소프트,MMORPG
394,19,15,(+1),마인크래프트,엑스박스 게임 스튜디오,샌드박스
395,19,16,(-2),사이퍼즈,㈜넥슨코리아,액션
396,19,17,(-),아이온: 영원의 탑,㈜엔씨소프트,MMORPG
397,19,18,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
398,19,19,(+1),크레이지 아케이드 비엔비,㈜넥슨코리아,아케이드
399,19,20,(+1),리니지2,㈜엔씨소프트,MMORPG
400,20,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
401,20,2,(-),피파온라인4,㈜넥슨코리아,스포츠
402,20,3,(-),메이플스토리,㈜넥슨코리아,MMORPG
403,20,4,(+1),카트라이더,㈜넥슨코리아,레이싱
404,20,5,(-1),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
405,20,6,(+1),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
406,20,7,(+1),배틀그라운드,펍지주식회사,서바이벌 슈팅
407,20,8,(-2),리니지,㈜엔씨소프트,MMORPG
