rank,rank_change,app_name,publisher_name,google_rank,apple_rank,onestore_rank
153,0,모바일 레전드: Bang Bang,Moonton,160.0,87.0,168.0
154,0,다크에덴M,Benoholdings,187.0,332.0,71.0
155,0,Hero Wars,NEXTERS GLOBAL LTD,149.0,100.0,
156,0,게임빌프로야구2020 슈퍼스타즈,GAMEVIL,136.0,186.0,
157,0,왕좌의게임:윈터이즈커밍,"YOOZOO GAMES KOREA CO., LTD.",292.0,162.0,63.0
158,0,Minecraft,Mojang,148.0,118.0,
159,0,별이되어라!,GAMEVIL,250.0,231.0,66.0
160,0,Toy Blast - 토이 블라스트,Peak,142.0,150.0,
161,0,EF 디펜스,ekkorr,159.0,97.0,
162,0,앙상블스타즈!!,HappyElements,162.0,89.0,
163,0,퍼즐앤드래곤,GungHoOnlineEntertainment,139.0,183.0,
164,0,디펜스 워：데스티니 차일드 PVP 게임,THUMBAGE,155.0,108.0,
165,0,카발 모바일 (CABAL Mobile),ESTgames Corp.,302.0,,59.0
166,0,냥코 대전쟁,PONOS Corporation,152.0,117.0,
167,0,패밀리 아일랜드 - 농장모험게임,Melsoft Games Ltd,145.0,163.0,
168,0,레이드: 그림자의 전설,Plarium Global Ltd,143.0,176.0,
169,0,라그나로크M: TRINITY,"GRAVITY Co., Ltd.",156.0,128.0,
170,0,삼국블레이드,"ACTION SQUARE CO., LTD.",193.0,188.0,97.0
171,0,용구 탄생의 비밀,IUG Games,135.0,,
172,0,액스(AxE),NEXON Company,146.0,221.0,
173,0,소녀전선,X.D. Global,147.0,206.0,
174,0,Art of War: Legions,Fastone Games HK,150.0,229.0,
175,0,삼국지K : 실시간 RvR 공성전,CHAPLIN GAME CO. LTD,209.0,,78.0
176,0,Yu-Gi-Oh! Duel Links,KONAMI,168.0,101.0,
177,0,정상대해전 - 잠수함 DIY 신규 기능 출시!,Special Gamez,154.0,175.0,
178,0,크로스파이어: 워존,JOYCITY Corp.,153.0,184.0,
179,0,리니지2M(12),NCSOFT,175.0,95.0,
180,0,숨겨진 유산,Playrix,172.0,103.0,
181,0,낚시 클래시: 스포츠 낚시 게임 (Fishing Clash),Ten Square Games,140.0,,
182,0,궁수의 전설,Habby,189.0,92.0,196.0
183,0,해전1942,Sincetimes Inc.,270.0,,68.0
184,0,D-MEN: 히어로 컴백,ACE GAME INTERNATIONAL LIMITED,166.0,123.0,
185,0,Toon Blast,Peak,179.0,94.0,
186,0,앨리스클로젯,Kakao Games Corp.,174.0,116.0,
187,0,캔디크러쉬소다,King,163.0,168.0,
188,0,바람의전쟁: 뇌명천하,4399 KOREA,198.0,149.0,133.0
189,0,검생검사,FlickGames,182.0,386.0,119.0
190,0,라루나 판타지,Eskyfun Entertainment,216.0,189.0,108.0
191,0,뮤오리진,Webzen Inc.,257.0,293.0,73.0
192,0,새 천하를 열다,ED GAMES CORP.,296.0,,70.0
193,0,클래시 로얄,Supercell,194.0,82.0,
194,0,배틀 삼국지,"Digging Games Network Technology Co., Ltd.",258.0,114.0,96.0
195,0,크루세이더 퀘스트,NHN Corp.,178.0,122.0,
196,0,구원자를 키우는 방법:야생소녀,"Bluesom Co.,Ltd",169.0,173.0,
197,0,프렌즈타운,Kakao Games Corp.,176.0,151.0,
198,0,솔리테어 크루즈 게임: 클래식 트라이픽 카드 게임,BELKA GAMES,181.0,126.0,
199,0,관도:삼국지,Gacraze Entertainment Limited,208.0,350.0,102.0
200,0,로닌: 더 라스트 사무라이,Dreamotion Inc.,165.0,273.0,
