,column-1,column-1 2,column-3,column-4,column-5
9,10,(-1),오버워치,블리자드,FPS
10,11,(-1),천하제일상 거상,AK INTERACTIVE,롤플레잉
11,12,(-1),리니지,엔씨소프트,롤플레잉
12,13,(+1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
13,14,(+1),블레이드앤소울,엔씨소프트,롤플레잉
14,15,(+2),사이퍼즈,넥슨 코리아,액션
15,16,(-3),아스텔리아,NEXON COMPANY,롤플레잉
16,17,(+3),검은사막,카카오게임즈,롤플레잉
17,18,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
18,19,(-1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
19,20,(-4),포트나이트,네오위즈,RTS
20,21,(-),엘소드,넥슨 코리아,롤플레잉
21,22,(-),바람의나라,넥슨 코리아,롤플레잉
0,1,(+2),메이플스토리,NEXON Company,롤플레잉
1,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
2,3,(-2),로스트아크,스마일게이트 STOVE,MMORPG
3,4,(-),피파온라인4,NEXON COMPANY,스포츠
4,5,(-),카트라이더,NEXON COMPANY,스포츠
5,6,(+1),던전앤파이터,넥슨 코리아,액션
6,7,(-1),배틀그라운드,"Kakao Games Corp., PUBG",FPS
