,Unnamed: 0,rank,change,name,service,genre
3797,37,38,(-2),V4,NEXON Company,롤플레잉
3798,38,39,(-2),라이즈 오브 킹덤즈,Lilith Games,전략
3799,39,40,(-2),모두의마블,Netmarble,보드
3800,0,1,(-),언디셈버,LINE Games,롤플레잉
3801,1,2,(-),ROBLOX,Roblox Corporation,어드벤처
3802,2,3,(-),리니지W,NCSOFT,롤플레잉
3803,3,4,(-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
3804,4,5,(-),원신,miHoYo Limited,어드벤처
3805,5,6,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
3806,6,7,(-),전략적 팀 전투,"Riot Games, Inc",전략
3807,7,8,(-),바람의나라 연,NEXON Company,롤플레잉
3808,8,9,(-),리니지M,NCSOFT Corporation,롤플레잉
3809,9,10,(+1),브롤스타즈,Supercell,액션
3810,10,11,(+1),리니지2M,NCSOFT Corporation,롤플레잉
3811,11,12,(-2),제2의 나라,Netmarble,롤플레잉
3812,12,13,(-),메이플스토리M,NEXON Company,롤플레잉
3813,13,14,(+3),냥코 대전쟁,PONOS Corporation,캐주얼 게임
3814,14,15,(-),카트라이더 러쉬플러스,NEXON Company,자동차 경주
3815,15,16,(-),피파 모바일,NEXON Company,스포츠
3816,16,17,(-3),블루 아카이브,NEXON Company,롤플레잉
3817,17,18,(+1),솔라 리바이벌,Ujoy Games,롤플레잉
3818,18,19,(-1),세븐나이츠2,Netmarble,롤플레잉
3819,19,20,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
3820,20,21,(-),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
3821,21,22,(+1),좀비고등학교,AWESOMEPIECE,아케이드
3822,22,23,(+1),삼국지 전략판,Qookka Games,전략
3823,23,24,(-2),창공아레나,Sewon E&C,롤플레잉
3824,24,25,(-),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
3825,25,26,(+2),그랑사가,NPIXEL,롤플레잉
3826,26,27,(+2),이스6 온라인,HaoPlay Limited,롤플레잉
3827,27,28,(-1),포켓몬고,"Niantic, Inc.",어드벤처
3828,28,29,(-3),블레이드&소울2,NCSOFT,롤플레잉
3829,29,30,(+3),카운터사이드,NEXON Company,롤플레잉
3830,30,31,(+1),Football Manager 2022 Mobile,SEGA,스포츠
3831,31,32,(+3),삼국지 워,Archosaur Games,전략
3832,32,33,(-3),미르4,"Wemade Co., Ltd",롤플레잉
3833,33,34,(-3),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
