,Unnamed: 0,week_num,rank,column-1 2,name,company,type
2259,2259,73,20,(+3),디아블로2,블리자드 엔터테인먼트,RPG
2260,2260,72,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2261,2261,72,2,(-),피파온라인4,㈜넥슨코리아,스포츠
2262,2262,72,3,(-),메이플스토리,㈜넥슨코리아,MMORPG
2263,2263,72,4,(+1),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2264,2264,72,5,(-1),아이온,㈜엔씨소프트,MMORPG
2265,2265,72,6,(+1),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2266,2266,72,7,(-1),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2267,2267,72,8,(+1),서든어택,㈜넥슨코리아,FPS
2268,2268,72,9,(-1),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2269,2269,72,10,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2270,2270,72,11,(-),카트라이더,㈜넥슨코리아,레이싱
2271,2271,72,12,(+1),발로란트,라이엇 게임즈,FPS
2272,2272,72,13,(+1),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2273,2273,72,14,(+1),아키에이지,㈜엑스엘게임즈,판타지 RPG
2274,2274,72,15,(-3),엘리온,(주)카카오게임즈,MMORPG
2275,2275,72,16,(+4),디아블로2,블리자드 엔터테인먼트,RPG
2276,2276,72,17,(-1),리니지,㈜엔씨소프트,MMORPG
2277,2277,72,18,(-1),사이퍼즈,㈜넥슨코리아,액션
2278,2278,72,19,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2279,2279,72,20,(-2),블레이드앤소울,㈜엔씨소프트,MMORPG
2280,2280,71,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2281,2281,71,2,(+1),메이플스토리,㈜넥슨코리아,MMORPG
2282,2282,71,3,(-1),피파온라인4,㈜넥슨코리아,스포츠
2283,2283,71,4,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2284,2284,71,5,(-),아이온,㈜엔씨소프트,MMORPG
2285,2285,71,6,(+2),서든어택,㈜넥슨코리아,FPS
2286,2286,71,7,(-1),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
