,week_num,level_0,rank,change,name,service,genre
3290,21,3290,11,(+2),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3291,21,3291,12,(-3),에오스 레드,BluePotion Games,롤플레잉
3292,21,3292,13,(+1),트라하,NEXON Company,롤플레잉
3293,21,3293,14,(-3),세븐나이츠 for kakao,Netmarble,롤플레잉
3294,21,3294,15,(+1),아이들 히어로즈,DHGAMES,롤플레잉
3295,21,3295,16,(-4),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
3296,21,3296,17,(NEW),DX : 신 세기의 전쟁,Efun Company,롤플레잉
3297,21,3297,18,(-3),메이플스토리M,NEXON Company,롤플레잉
3298,21,3298,19,(-2),좀비고등학교,AWESOMEPIECE,아케이드
3299,21,3299,20,(-2),뮤오리진2,Webzen Inc.,롤플레잉
3300,20,3300,1,(-),V4,NEXON Company,롤플레잉
3301,20,3301,2,(+1),리니지M,NCSOFT Corporation,롤플레잉
3302,20,3302,3,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
3303,20,3303,4,(-),브롤스타즈,Supercell,액션
3304,20,3304,5,(-),완미세계,Perfect World Games,롤플레잉
3305,20,3305,6,(-),세인트 세이야 : 각성,YOUZU(SINGAPORE)PTE.LTD.,카드
3306,20,3306,7,(+1),ROBLOX,Roblox Corporation,어드벤처
3307,20,3307,8,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
3308,20,3308,9,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3309,20,3309,10,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
3310,20,3310,11,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3311,20,3311,12,(+3),아이들 히어로즈,DHGAMES,롤플레잉
3312,20,3312,13,(+3),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
3313,20,3313,14,(-2),에오스 레드,BluePotion Games,롤플레잉
3314,20,3314,15,(-1),세븐나이츠 for kakao,Netmarble,롤플레잉
3315,20,3315,16,(+1),DX : 신 세기의 전쟁,Efun Company,롤플레잉
3316,20,3316,17,(+1),메이플스토리M,NEXON Company,롤플레잉
3317,20,3317,18,(+2),뮤오리진2,Webzen Inc.,롤플레잉
3318,20,3318,19,(-),좀비고등학교,AWESOMEPIECE,아케이드
3319,20,3319,20,(+1),랑그릿사,ZlongGames,전략
3320,19,3320,1,(-),V4,NEXON Company,롤플레잉
3321,19,3321,2,(NEW),엑소스 히어로즈,LINE Games,롤플레잉
3322,19,3322,3,(-1),리니지M,NCSOFT Corporation,롤플레잉
3323,19,3323,4,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
3324,19,3324,5,(-1),브롤스타즈,Supercell,액션
3325,19,3325,6,(-),세인트 세이야 : 각성,YOUZU(SINGAPORE)PTE.LTD.,카드
3326,19,3326,7,(-),ROBLOX,Roblox Corporation,어드벤처
3327,19,3327,8,(+2),검은사막 모바일,PEARL ABYSS,롤플레잉
3328,19,3328,9,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
3329,19,3329,10,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3330,19,3330,11,(-2),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3331,19,3331,12,(-),아이들 히어로즈,DHGAMES,롤플레잉
3332,19,3332,13,(+2),세븐나이츠 for kakao,Netmarble,롤플레잉
3333,19,3333,14,(+3),메이플스토리M,NEXON Company,롤플레잉
3334,19,3334,15,(+3),뮤오리진2,Webzen Inc.,롤플레잉
3335,19,3335,16,(-),DX : 신 세기의 전쟁,Efun Company,롤플레잉
3336,19,3336,17,(-3),에오스 레드,BluePotion Games,롤플레잉
3337,19,3337,18,(+4),리니지2 레볼루션,Netmarble,롤플레잉
3338,19,3338,19,(+2),포켓몬고,"Niantic, Inc.",어드벤처
3339,19,3339,20,(-1),좀비고등학교,AWESOMEPIECE,아케이드
3340,18,3340,1,(NEW),리니지2M,NCSOFT Corporation,롤플레잉
3341,18,3341,2,(-1),V4,NEXON Company,롤플레잉
3342,18,3342,3,(-),리니지M,NCSOFT Corporation,롤플레잉
3343,18,3343,4,(-2),엑소스 히어로즈,LINE Games,롤플레잉
3344,18,3344,5,(-),브롤스타즈,Supercell,액션
3345,18,3345,6,(-2),달빛조각사,Kakao Games Corp.,롤플레잉
3346,18,3346,7,(+1),검은사막 모바일,PEARL ABYSS,롤플레잉
3347,18,3347,8,(-1),ROBLOX,Roblox Corporation,어드벤처
3348,18,3348,9,(-),라이즈 오브 킹덤즈,Lilith Games,전략
3349,18,3349,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3350,18,3350,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3351,18,3351,12,(+6),리니지2 레볼루션,Netmarble,롤플레잉
3352,18,3352,13,(+1),메이플스토리M,NEXON Company,롤플레잉
3353,18,3353,14,(-1),세븐나이츠 for kakao,Netmarble,롤플레잉
3354,18,3354,15,(+9),블레이드&소울 레볼루션,Netmarble,롤플레잉
3355,18,3355,16,(+3),포켓몬고,"Niantic, Inc.",어드벤처
3356,18,3356,17,(+8),랑그릿사,ZlongGames,전략
3357,18,3357,18,(-2),DX : 신 세기의 전쟁,Efun Company,롤플레잉
3358,18,3358,19,(+1),좀비고등학교,AWESOMEPIECE,아케이드
3359,18,3359,20,(+2),클래시 로얄,Supercell,전략
3360,17,3360,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
3361,17,3361,2,(-),V4,NEXON Company,롤플레잉
3362,17,3362,3,(+1),엑소스 히어로즈,LINE Games,롤플레잉
3363,17,3363,4,(-1),리니지M,NCSOFT Corporation,롤플레잉
3364,17,3364,5,(-),브롤스타즈,Supercell,액션
3365,17,3365,6,(-),달빛조각사,Kakao Games Corp.,롤플레잉
3366,17,3366,7,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
3367,17,3367,8,(-),ROBLOX,Roblox Corporation,어드벤처
